region,model,layer,view,n_sessions,rho_mean,rho_sem,t,p,rho_norm_mean,frac_sessions_positive
MFC,vit_b_16,block11,cls,19.0,0.013138024055728233,0.006083676529081688,2.1574151501420755,0.044736117345370405,0.08888160014037685,0.5789473684210527
MFC,vit_b_16,block11,gap,19.0,0.014169992796263945,0.008319234999864427,1.7008121777596001,0.10618981700284197,0.09586309389960558,0.5789473684210527
MFC,vit_b_16,block2,cls,19.0,0.0072598955434733554,0.004805933313914065,1.5100615409243103,0.14838271735305167,0.0491147778401701,0.5789473684210527
MFC,vit_b_16,block2,gap,19.0,0.008812738771915612,0.0057827045940621186,1.5231619824190648,0.14509378411954973,0.059620101192118115,0.7368421052631579
MFC,vit_b_16,block5,cls,19.0,0.010540239389858395,0.005652836435828573,1.8637814623123077,0.07874877452739813,0.07130701990340628,0.631578947368421
MFC,vit_b_16,block5,gap,19.0,0.01179641866206543,0.006290201271362582,1.874068705229097,0.07724734779164745,0.07980534684384562,0.5789473684210527
MFC,vit_b_16,block8,cls,19.0,0.009052833469292344,0.005563230453615817,1.6259184633960075,0.12134651061856984,0.06124439422108081,0.5789473684210527
MFC,vit_b_16,block8,gap,19.0,0.014993989915477306,0.0063916707406641545,2.344250573180406,0.030738512050973655,0.1014376142503133,0.631578947368421
MFC,vit_b_16,ln,cls,19.0,0.009218033566425388,0.006673813015177039,1.3800838555507848,0.18446247030904617,0.062362008933479554,0.631578947368421
MFC,vit_b_16,ln,gap,19.0,0.015248022666164013,0.008526649969549986,1.785502235839084,0.09103986264038648,0.10315620125192952,0.5789473684210527
MFC,vit_b_16,logits,gap,19.0,0.009317333820200197,0.005925151884202545,1.5716267174968046,0.13344919518306567,0.06303379682277044,0.5789473684210527
MTL,alexnet,conv1,gap,18.0,0.015287957154546299,0.008222066186017249,1.8500158048000133,0.0817719505097936,0.06015670896717238,0.7222222222222222
MTL,alexnet,conv2,gap,18.0,0.03616315039600357,0.017497805783234444,2.0216322342068502,0.05924585176085141,0.14229867939298477,0.6111111111111112
MTL,alexnet,conv3,gap,18.0,0.043945910733927146,0.018326286592387265,2.344843019339014,0.03143391193805387,0.172923127373629,0.8333333333333334
MTL,alexnet,conv4,gap,18.0,0.05151350102148734,0.021088868019930332,2.3677777706188055,0.03001674444440092,0.20270090094465057,0.7222222222222222
MTL,alexnet,conv5,gap,18.0,0.04561339993656587,0.018385070074155397,2.426112198775768,0.02667720256417814,0.17948454441941197,0.7222222222222222
MTL,alexnet,fc6,gap,18.0,0.04855316829336519,0.017978679109401218,2.6413769298790446,0.017145014417939818,0.19105226322468666,0.7777777777777778
MTL,alexnet,fc7,gap,18.0,0.04788800532900139,0.01835043438342415,2.5527782000666788,0.02059176669002189,0.1884349079784316,0.7222222222222222
