region,model,layer,view,n_pairs,rho,p_perm,null_sd
hippocampus,resnet18,layer1,gap,6200,0.015117070886462313,0.07960199004975124,0.010274054543298106
MTL_concept,resnet18,layer1,gap,5681,0.04207620566192886,0.004975124378109453,0.011279563364450781
MTL,resnet18,layer2,gap,6886,0.06898530224176302,0.004975124378109453,0.013220970556181084
MFC,resnet18,layer2,gap,6886,0.015538848056967614,0.1044776119402985,0.010494751173891238
amygdala,resnet18,layer2,gap,5987,0.05072420443309251,0.004975124378109453,0.010809140238701253
hippocampus,resnet18,layer2,gap,6200,0.021288696210861154,0.024875621890547265,0.010161207485547427
MTL_concept,resnet18,layer2,gap,5681,0.07915666680132097,0.004975124378109453,0.011840002708966891
MTL,resnet18,layer3,gap,6886,0.09113275178027609,0.004975124378109453,0.011591439411112002
MFC,resnet18,layer3,gap,6886,0.020007866342583162,0.03980099502487562,0.01102631455762879
amygdala,resnet18,layer3,gap,5987,0.09270793711840392,0.004975124378109453,0.01228252738759532
hippocampus,resnet18,layer3,gap,6200,0.012413385785244308,0.13930348258706468,0.011355573135344273
MTL_concept,resnet18,layer3,gap,5681,0.10268060915093262,0.004975124378109453,0.01218300184864191
MTL,resnet18,layer4,gap,6886,0.10429261152966512,0.004975124378109453,0.011530611441689069
MFC,resnet18,layer4,gap,6886,0.033066085984323805,0.004975124378109453,0.011343771366444483
amygdala,resnet18,layer4,gap,5987,0.09926210462113386,0.004975124378109453,0.011751246069062249
hippocampus,resnet18,layer4,gap,6200,0.036099683878032376,0.004975124378109453,0.011966348101160512
MTL_concept,resnet18,layer4,gap,5681,0.1168018867830255,0.004975124378109453,0.012317709377580767
MTL,resnet18,avgpool,gap,6886,0.10429261152966512,0.004975124378109453,0.01132513505228309
MFC,resnet18,avgpool,gap,6886,0.033066085984323805,0.009950248756218905,0.011165929433082328
amygdala,resnet18,avgpool,gap,5987,0.09926210462113386,0.004975124378109453,0.01185839147083571
hippocampus,resnet18,avgpool,gap,6200,0.036099683878032376,0.004975124378109453,0.012504301226022101
MTL_concept,resnet18,avgpool,gap,5681,0.1168018867830255,0.004975124378109453,0.012595177097653934
MTL,resnet18,logits,gap,6886,0.10023182635805893,0.004975124378109453,0.013325683532593615
MFC,resnet18,logits,gap,6886,0.03054914485672382,0.004975124378109453,0.00969869871088668
amygdala,resnet18,logits,gap,5987,0.0895829139793767,0.004975124378109453,0.010871982755394829
hippocampus,resnet18,logits,gap,6200,0.03382475316104451,0.004975124378109453,0.011290447167084725
MTL_concept,resnet18,logits,gap,5681,0.11719538870255163,0.004975124378109453,0.012954018408306019
MTL,resnet50,stem,gap,6886,0.01643644042689565,0.07960199004975124,0.01130484235986807
